Recording timestamp [ms]	Computer timestamp [ms]	Sensor	Project name	Export date	Participant name	Recording name	Recording date	Recording date UTC	Recording start time	Recording start time UTC	Recording duration [ms]	Timeline name	Recording Fixation filter name	Recording software version	Recording resolution height [px]	Recording resolution width [px]	Recording monitor latency [ms]	Average calibration accuracy [mm]	Average calibration precision SD [mm]	Average calibration precision RMS [mm]	Average calibration accuracy [°]	Average calibration precision SD [°]	Average calibration precision RMS [°]	Average calibration accuracy [px]	Average calibration precision SD [px]	Average calibration precision RMS [px]	Average validation accuracy [mm]	Average validation precision SD [mm]	Average validation precision RMS [mm]	Average validation accuracy [°]	Average validation precision SD [°]	Average validation precision RMS [°]	Average validation accuracy [px]	Average validation precision SD [px]	Average validation precision RMS [px]	Eyetracker timestamp [μs]	Event	Event value	Gaze point X [DACS px]	Gaze point Y [DACS px]	Gaze point left X [DACS px]	Gaze point left Y [DACS px]	Gaze point right X [DACS px]	Gaze point right Y [DACS px]	Gaze direction left X [DACS norm]	Gaze direction left Y [DACS norm]	Gaze direction left Z [DACS norm]	Gaze direction right X [DACS norm]	Gaze direction right Y [DACS norm]	Gaze direction right Z [DACS norm]	Pupil diameter left [mm]	Pupil diameter right [mm]	Validity left	Validity right	Eye position left X [DACS mm]	Eye position left Y [DACS mm]	Eye position left Z [DACS mm]	Eye position right X [DACS mm]	Eye position right Y [DACS mm]	Eye position right Z [DACS mm]	Gaze point left X [DACS mm]	Gaze point left Y [DACS mm]	Gaze point right X [DACS mm]	Gaze point right Y [DACS mm]	Gaze point X [MCS norm]	Gaze point Y [MCS norm]	Gaze point left X [MCS norm]	Gaze point left Y [MCS norm]	Gaze point right X [MCS norm]	Gaze point right Y [MCS norm]	Presented Stimulus name	Presented Media name	Presented Media width [px]	Presented Media height [px]	Presented Media position X [DACS px]	Presented Media position Y [DACS px]	Original Media width [px]	Original Media height [px]	Eye movement type	Gaze event duration [ms]	Eye movement type index	Fixation point X [DACS px]	Fixation point Y [DACS px]	Fixation point X [MCS norm]	Fixation point Y [MCS norm]	Ungrouped	AOI hit [Desktop 2022.06.12 - 22.07.32.02 - Fire]	AOI hit [Desktop 2022.06.12 - 22.07.32.02 - NPC corp]	AOI hit [Desktop 2022.06.12 - 22.07.32.02 - NPC face]	AOI hit [Desktop 2022.06.12 - 22.07.32.02 - Player]	AOI hit [Desktop 2022.06.12 - 22.07.32.02 - Text]	AOI hit [Desktop 2022.06.12 - 22.07.32.02 - Truck]	Client area position X [px]	Client area position Y [px]	Viewport position X [px]	Viewport position Y [px]	Viewport width [px]	Viewport height [px]	Full page width [px]	Full page height [px]	Mouse position X [DACS px]	Mouse position Y [DACS px]
67472	2296162	Eye Tracker	Magisterka	26.06.2022	Participant12	Recording12	12.06.2022	12.06.2022	23:31:41.767	21:31:41.767	166140	Timeline1	Tobii I-VT (Fixation)	1.181.37603	1080	1920	10,00	25,9			2,22			76			14,0	5,4	3,1	1,30	0,50	0,29	41	16	9	3545364190			1224	790	1221	771	1228	808	0,23321	0,14422	-0,96167	0,13279	0,17034	-0,97640	3,477	3,502	Valid	Valid	273,4	203,5	584,9	338,0	203,6	583,7	415,3	291,2	417,4	305,4	0,6033	0,6734	0,6021	0,6603	0,6045	0,6864	Desktop 2022.06.12 - 22.07.32.02	Desktop 2022.06.12 - 22.07.32.02.mp4	2560	1440	-320	-180	2560	1440	Fixation	233	108	1230	786	0,6056	0,6710	1	0	0	0	0	1	0										
67489	2296178	Eye Tracker	Magisterka	26.06.2022	Participant12	Recording12	12.06.2022	12.06.2022	23:31:41.767	21:31:41.767	166140	Timeline1	Tobii I-VT (Fixation)	1.181.37603	1080	1920	10,00	25,9			2,22			76			14,0	5,4	3,1	1,30	0,50	0,29	41	16	9	3545380845			1227	788	1224	775	1231	802	0,23426	0,14655	-0,96106	0,13456	0,16653	-0,97681	3,473	3,497	Valid	Valid	273,4	203,4	585,1	338,0	203,5	583,9	416,0	292,6	418,4	303,1	0,6044	0,6725	0,6030	0,6629	0,6057	0,6821	Desktop 2022.06.12 - 22.07.32.02	Desktop 2022.06.12 - 22.07.32.02.mp4	2560	1440	-320	-180	2560	1440	Fixation	233	108	1230	786	0,6056	0,6710	1	0	0	0	0	1	0										
67505	2296195	Eye Tracker	Magisterka	26.06.2022	Participant12	Recording12	12.06.2022	12.06.2022	23:31:41.767	21:31:41.767	166140	Timeline1	Tobii I-VT (Fixation)	1.181.37603	1080	1920	10,00	25,9			2,22			76			14,0	5,4	3,1	1,30	0,50	0,29	41	16	9	3545397500			1228	788	1220	779	1236	797	0,23229	0,14910	-0,96115	0,13733	0,16358	-0,97692	3,515	3,502	Valid	Valid	273,4	203,3	585,3	338,0	203,4	584,1	414,9	294,1	420,1	301,2	0,6046	0,6722	0,6016	0,6657	0,6077	0,6787	Desktop 2022.06.12 - 22.07.32.02	Desktop 2022.06.12 - 22.07.32.02.mp4	2560	1440	-320	-180	2560	1440	Fixation	233	108	1230	786	0,6056	0,6710	1	0	0	0	0	1	0										
67522	2296211	Eye Tracker	Magisterka	26.06.2022	Participant12	Recording12	12.06.2022	12.06.2022	23:31:41.767	21:31:41.767	166140	Timeline1	Tobii I-VT (Fixation)	1.181.37603	1080	1920	10,00	25,9			2,22			76			14,0	5,4	3,1	1,30	0,50	0,29	41	16	9	3545414154			1231	785	1224	778	1238	792	0,23402	0,14906	-0,96074	0,13854	0,16053	-0,97726	3,513	3,499	Valid	Valid	273,4	203,2	585,6	338,0	203,3	584,4	416,0	294,1	420,9	299,3	0,6057	0,6704	0,6030	0,6656	0,6085	0,6752	Desktop 2022.06.12 - 22.07.32.02	Desktop 2022.06.12 - 22.07.32.02.mp4	2560	1440	-320	-180	2560	1440	Fixation	233	108	1230	786	0,6056	0,6710	1	0	0	0	0	1	0										
67538	2296228	Eye Tracker	Magisterka	26.06.2022	Participant12	Recording12	12.06.2022	12.06.2022	23:31:41.767	21:31:41.767	166140	Timeline1	Tobii I-VT (Fixation)	1.181.37603	1080	1920	10,00	25,9			2,22			76			14,0	5,4	3,1	1,30	0,50	0,29	41	16	9	3545430809			1230	787	1225	775	1235	800	0,23500	0,14706	-0,96081	0,13695	0,16516	-0,97671	3,495	3,508	Valid	Valid	273,3	203,1	585,9	338,0	203,2	584,7	416,6	292,8	420,0	302,1	0,6056	0,6717	0,6037	0,6632	0,6075	0,6803	Desktop 2022.06.12 - 22.07.32.02	Desktop 2022.06.12 - 22.07.32.02.mp4	2560	1440	-320	-180	2560	1440	Fixation	233	108	1230	786	0,6056	0,6710	1	0	0	0	0	1	0										
67555	2296245	Eye Tracker	Magisterka	26.06.2022	Participant12	Recording12	12.06.2022	12.06.2022	23:31:41.767	21:31:41.767	166140	Timeline1	Tobii I-VT (Fixation)	1.181.37603	1080	1920	10,00	25,9			2,22			76			14,0	5,4	3,1	1,30	0,50	0,29	41	16	9	3545447464			1235	788	1230	776	1240	800	0,23759	0,14792	-0,96004	0,13966	0,16550	-0,97627	3,499	3,506	Valid	Valid	273,3	203,0	586,0	338,0	203,1	584,8	418,3	293,3	421,7	302,3	0,6075	0,6725	0,6056	0,6642	0,6094	0,6807	Desktop 2022.06.12 - 22.07.32.02	Desktop 2022.06.12 - 22.07.32.02.mp4	2560	1440	-320	-180	2560	1440	Fixation	233	108	1230	786	0,6056	0,6710	1	0	0	0	0	1	0										
67572	2296261	Eye Tracker	Magisterka	26.06.2022	Participant12	Recording12	12.06.2022	12.06.2022	23:31:41.767	21:31:41.767	166140	Timeline1	Tobii I-VT (Fixation)	1.181.37603	1080	1920	10,00	25,9			2,22			76			14,0	5,4	3,1	1,30	0,50	0,29	41	16	9	3545464118			1245	788	1242	784	1249	791	0,24365	0,15229	-0,95783	0,14474	0,15966	-0,97650	3,495	3,514	Valid	Valid	273,3	203,3	585,6	338,0	203,4	584,4	422,3	296,4	424,6	298,9	0,6115	0,6721	0,6102	0,6698	0,6128	0,6744	Desktop 2022.06.12 - 22.07.32.02	Desktop 2022.06.12 - 22.07.32.02.mp4	2560	1440	-320	-180	2560	1440	Fixation	233	108	1230	786	0,6056	0,6710	1	0	0	0	0	1	0										
67588	2296278	Eye Tracker	Magisterka	26.06.2022	Participant12	Recording12	12.06.2022	12.06.2022	23:31:41.767	21:31:41.767	166140	Timeline1	Tobii I-VT (Fixation)	1.181.37603	1080	1920	10,00	25,9			2,22			76			14,0	5,4	3,1	1,30	0,50	0,29	41	16	9	3545480773			1303	793	1297	787	1308	798	0,27154	0,15266	-0,95024	0,17713	0,16329	-0,97055	3,493	3,516	Valid	Valid	273,5	203,1	586,0	338,1	203,2	584,8	440,9	297,2	444,9	301,6	0,6338	0,6754	0,6316	0,6714	0,6361	0,6794	Desktop 2022.06.12 - 22.07.32.02	Desktop 2022.06.12 - 22.07.32.02.mp4	2560	1440	-320	-180	2560	1440	Saccade	17	214						0	0	0	0	0	0										
67605	2296295	Eye Tracker	Magisterka	26.06.2022	Participant12	Recording12	12.06.2022	12.06.2022	23:31:41.767	21:31:41.767	166140	Timeline1	Tobii I-VT (Fixation)	1.181.37603	1080	1920	10,00	25,9			2,22			76			14,0	5,4	3,1	1,30	0,50	0,29	41	16	9	3545497428			1310	796	1302	789	1318	803	0,27373	0,15425	-0,94936	0,18208	0,16611	-0,96915	3,509	3,502	Valid	Valid	273,5	202,8	586,8	338,2	202,9	585,6	442,7	298,1	448,2	303,2	0,6368	0,6777	0,6336	0,6730	0,6400	0,6824	Desktop 2022.06.12 - 22.07.32.02	Desktop 2022.06.12 - 22.07.32.02.mp4	2560	1440	-320	-180	2560	1440	Fixation	150	109	1298	791	0,6320	0,6741	1	0	0	0	0	1	0										
67622	2296311	Eye Tracker	Magisterka	26.06.2022	Participant12	Recording12	12.06.2022	12.06.2022	23:31:41.767	21:31:41.767	166140	Timeline1	Tobii I-VT (Fixation)	1.181.37603	1080	1920	10,00	25,9			2,22			76			14,0	5,4	3,1	1,30	0,50	0,29	41	16	9	3545514082			1300	796	1291	789	1309	803	0,26844	0,15441	-0,95084	0,17698	0,16653	-0,97002	3,503	3,501	Valid	Valid	273,4	202,8	586,6	338,1	202,9	585,4	439,0	298,1	444,9	303,4	0,6328	0,6779	0,6294	0,6729	0,6362	0,6828	Desktop 2022.06.12 - 22.07.32.02	Desktop 2022.06.12 - 22.07.32.02.mp4	2560	1440	-320	-180	2560	1440	Fixation	150	109	1298	791	0,6320	0,6741	1	0	0	0	0	1	0										
