Recording timestamp [ms]	Computer timestamp [ms]	Sensor	Project name	Export date	Participant name	Recording name	Recording date	Recording date UTC	Recording start time	Recording start time UTC	Recording duration [ms]	Timeline name	Recording Fixation filter name	Recording software version	Recording resolution height [px]	Recording resolution width [px]	Recording monitor latency [ms]	Average calibration accuracy [mm]	Average calibration precision SD [mm]	Average calibration precision RMS [mm]	Average calibration accuracy [°]	Average calibration precision SD [°]	Average calibration precision RMS [°]	Average calibration accuracy [px]	Average calibration precision SD [px]	Average calibration precision RMS [px]	Average validation accuracy [mm]	Average validation precision SD [mm]	Average validation precision RMS [mm]	Average validation accuracy [°]	Average validation precision SD [°]	Average validation precision RMS [°]	Average validation accuracy [px]	Average validation precision SD [px]	Average validation precision RMS [px]	Eyetracker timestamp [μs]	Event	Event value	Gaze point X [DACS px]	Gaze point Y [DACS px]	Gaze point left X [DACS px]	Gaze point left Y [DACS px]	Gaze point right X [DACS px]	Gaze point right Y [DACS px]	Gaze direction left X [DACS norm]	Gaze direction left Y [DACS norm]	Gaze direction left Z [DACS norm]	Gaze direction right X [DACS norm]	Gaze direction right Y [DACS norm]	Gaze direction right Z [DACS norm]	Pupil diameter left [mm]	Pupil diameter right [mm]	Validity left	Validity right	Eye position left X [DACS mm]	Eye position left Y [DACS mm]	Eye position left Z [DACS mm]	Eye position right X [DACS mm]	Eye position right Y [DACS mm]	Eye position right Z [DACS mm]	Gaze point left X [DACS mm]	Gaze point left Y [DACS mm]	Gaze point right X [DACS mm]	Gaze point right Y [DACS mm]	Gaze point X [MCS norm]	Gaze point Y [MCS norm]	Gaze point left X [MCS norm]	Gaze point left Y [MCS norm]	Gaze point right X [MCS norm]	Gaze point right Y [MCS norm]	Presented Stimulus name	Presented Media name	Presented Media width [px]	Presented Media height [px]	Presented Media position X [DACS px]	Presented Media position Y [DACS px]	Original Media width [px]	Original Media height [px]	Eye movement type	Gaze event duration [ms]	Eye movement type index	Fixation point X [DACS px]	Fixation point Y [DACS px]	Fixation point X [MCS norm]	Fixation point Y [MCS norm]	Ungrouped	AOI hit [Desktop 2022.06.12 - 22.07.32.02 - Fire]	AOI hit [Desktop 2022.06.12 - 22.07.32.02 - NPC corp]	AOI hit [Desktop 2022.06.12 - 22.07.32.02 - NPC face]	AOI hit [Desktop 2022.06.12 - 22.07.32.02 - Player]	AOI hit [Desktop 2022.06.12 - 22.07.32.02 - Text]	AOI hit [Desktop 2022.06.12 - 22.07.32.02 - Truck]	Client area position X [px]	Client area position Y [px]	Viewport position X [px]	Viewport position Y [px]	Viewport width [px]	Viewport height [px]	Full page width [px]	Full page height [px]	Mouse position X [DACS px]	Mouse position Y [DACS px]
64788	304322	Eye Tracker	Magisterka	26.06.2022	Participant1	Recording1	12.06.2022	12.06.2022	22:58:32.600	20:58:32.600	163496	Timeline1	Tobii I-VT (Fixation)	1.181.37603	1080	1920	10	21,5			1,67			63			19,4	2,4	1,3	1,69	0,21	0,12	57	7	4	1553550126			626	319	623	307	628	331	-0,14865	-0,15094	-0,9773	-0,24105	-0,13742	-0,96073	3,641	3,765	Valid	Valid	307,6	213,2	629,7	370,6	214,7	625,8	211,8	116	213,6	125,1	0,3693	0,3466	0,3683	0,3382	0,3704	0,355	Desktop 2022.06.12 - 22.07.32.02	Desktop 2022.06.12 - 22.07.32.02.mp4	2560	1440	-320	-180	2560	1440	Fixation	1166	119	624	325	0,3689	0,3506		0	1	0	0	0	0										
64805	304339	Eye Tracker	Magisterka	26.06.2022	Participant1	Recording1	12.06.2022	12.06.2022	22:58:32.600	20:58:32.600	163496	Timeline1	Tobii I-VT (Fixation)	1.181.37603	1080	1920	10	21,5			1,67			63			19,4	2,4	1,3	1,69	0,21	0,12	57	7	4	1553566780			627	319	627	305	627	332	-0,14624	-0,1518	-0,97753	-0,24156	-0,13701	-0,96067	3,637	3,768	Valid	Valid	307,5	213,2	629,9	370,5	214,6	625,9	213,3	115,4	213,1	125,4	0,37	0,3463	0,37	0,3371	0,3699	0,3554	Desktop 2022.06.12 - 22.07.32.02	Desktop 2022.06.12 - 22.07.32.02.mp4	2560	1440	-320	-180	2560	1440	Fixation	1166	119	624	325	0,3689	0,3506		0	1	0	0	0	0										
64821	304356	Eye Tracker	Magisterka	26.06.2022	Participant1	Recording1	12.06.2022	12.06.2022	22:58:32.600	20:58:32.600	163496	Timeline1	Tobii I-VT (Fixation)	1.181.37603	1080	1920	10	21,5			1,67			63			19,4	2,4	1,3	1,69	0,21	0,12	57	7	4	1553583435			617	314	615	305	618	323	-0,15263	-0,15136	-0,97662	-0,24541	-0,14164	-0,95902	3,628	3,757	Valid	Valid	307,5	213	630,4	370,6	214,5	626,4	209	115,3	210,3	122	0,3658	0,3431	0,3651	0,337	0,3666	0,3492	Desktop 2022.06.12 - 22.07.32.02	Desktop 2022.06.12 - 22.07.32.02.mp4	2560	1440	-320	-180	2560	1440	Fixation	1166	119	624	325	0,3689	0,3506		0	1	0	0	0	0										
64838	304372	Eye Tracker	Magisterka	26.06.2022	Participant1	Recording1	12.06.2022	12.06.2022	22:58:32.600	20:58:32.600	163496	Timeline1	Tobii I-VT (Fixation)	1.181.37603	1080	1920	10	21,5			1,67			63			19,4	2,4	1,3	1,69	0,21	0,12	57	7	4	1553600090			613	312	611	303	614	322	-0,15438	-0,15255	-0,97616	-0,24727	-0,1419	-0,9585	3,629	3,755	Valid	Valid	307,5	213	630,7	370,6	214,4	626,7	207,8	114,4	208,9	121,6	0,3643	0,3419	0,3637	0,3353	0,365	0,3486	Desktop 2022.06.12 - 22.07.32.02	Desktop 2022.06.12 - 22.07.32.02.mp4	2560	1440	-320	-180	2560	1440	Fixation	1166	119	624	325	0,3689	0,3506		0	1	0	0	0	0										
64855	304389	Eye Tracker	Magisterka	26.06.2022	Participant1	Recording1	12.06.2022	12.06.2022	22:58:32.600	20:58:32.600	163496	Timeline1	Tobii I-VT (Fixation)	1.181.37603	1080	1920	10	21,5			1,67			63			19,4	2,4	1,3	1,69	0,21	0,12	57	7	4	1553616745			617	314	617	309	618	318	-0,15139	-0,14903	-0,97718	-0,24539	-0,14417	-0,95864	3,638	3,758	Valid	Valid	307,5	213	630,7	370,5	214,4	626,8	209,8	116,8	210,1	120,1	0,3662	0,3427	0,366	0,3397	0,3664	0,3458	Desktop 2022.06.12 - 22.07.32.02	Desktop 2022.06.12 - 22.07.32.02.mp4	2560	1440	-320	-180	2560	1440	Fixation	1166	119	624	325	0,3689	0,3506		0	1	0	0	0	0										
64871	304406	Eye Tracker	Magisterka	26.06.2022	Participant1	Recording1	12.06.2022	12.06.2022	22:58:32.600	20:58:32.600	163496	Timeline1	Tobii I-VT (Fixation)	1.181.37603	1080	1920	10	21,5			1,67			63			19,4	2,4	1,3	1,69	0,21	0,12	57	7	4	1553633399			618	315	618	309	618	320	-0,15096	-0,14896	-0,97725	-0,24541	-0,14328	-0,95877	3,642	3,766	Valid	Valid	307,5	213	630,6	370,5	214,4	626,6	210,1	116,9	210,1	120,8	0,3664	0,3435	0,3663	0,3399	0,3664	0,347	Desktop 2022.06.12 - 22.07.32.02	Desktop 2022.06.12 - 22.07.32.02.mp4	2560	1440	-320	-180	2560	1440	Fixation	1166	119	624	325	0,3689	0,3506		0	1	0	0	0	0										
64888	304422	Eye Tracker	Magisterka	26.06.2022	Participant1	Recording1	12.06.2022	12.06.2022	22:58:32.600	20:58:32.600	163496	Timeline1	Tobii I-VT (Fixation)	1.181.37603	1080	1920	10	21,5			1,67			63			19,4	2,4	1,3	1,69	0,21	0,12	57	7	4	1553650054			619	314	619	308	619	320	-0,15058	-0,14968	-0,9772	-0,24487	-0,14339	-0,95889	3,629	3,769	Valid	Valid	307,5	213,1	630,4	370,5	214,5	626,4	210,3	116,5	210,5	120,8	0,3667	0,3432	0,3666	0,3392	0,3668	0,3471	Desktop 2022.06.12 - 22.07.32.02	Desktop 2022.06.12 - 22.07.32.02.mp4	2560	1440	-320	-180	2560	1440	Fixation	1166	119	624	325	0,3689	0,3506		0	1	0	0	0	0										
64905	304439	Eye Tracker	Magisterka	26.06.2022	Participant1	Recording1	12.06.2022	12.06.2022	22:58:32.600	20:58:32.600	163496	Timeline1	Tobii I-VT (Fixation)	1.181.37603	1080	1920	10	21,5			1,67			63			19,4	2,4	1,3	1,69	0,21	0,12	57	7	4	1553666709			619	314	619	309	618	319	-0,15028	-0,14971	-0,97724	-0,24555	-0,14397	-0,95863	3,631	3,765	Valid	Valid	307,4	213,2	630,1	370,4	214,6	626,2	210,5	116,7	210,1	120,6	0,3666	0,343	0,3669	0,3394	0,3663	0,3466	Desktop 2022.06.12 - 22.07.32.02	Desktop 2022.06.12 - 22.07.32.02.mp4	2560	1440	-320	-180	2560	1440	Fixation	1166	119	624	325	0,3689	0,3506		0	1	0	0	0	0										
64921	304456	Eye Tracker	Magisterka	26.06.2022	Participant1	Recording1	12.06.2022	12.06.2022	22:58:32.600	20:58:32.600	163496	Timeline1	Tobii I-VT (Fixation)	1.181.37603	1080	1920	10	21,5			1,67			63			19,4	2,4	1,3	1,69	0,21	0,12	57	7	4	1553683363			616	315	615	306	617	323	-0,15243	-0,15118	-0,97668	-0,2461	-0,14195	-0,95879	3,629	3,759	Valid	Valid	307,5	213,3	630	370,4	214,6	626	209,1	115,7	209,8	122	0,3656	0,3435	0,3653	0,3378	0,366	0,3492	Desktop 2022.06.12 - 22.07.32.02	Desktop 2022.06.12 - 22.07.32.02.mp4	2560	1440	-320	-180	2560	1440	Fixation	1166	119	624	325	0,3689	0,3506		0	1	0	0	0	0										
64938	304472	Eye Tracker	Magisterka	26.06.2022	Participant1	Recording1	12.06.2022	12.06.2022	22:58:32.600	20:58:32.600	163496	Timeline1	Tobii I-VT (Fixation)	1.181.37603	1080	1920	10	21,5			1,67			63			19,4	2,4	1,3	1,69	0,21	0,12	57	7	4	1553700018			617	315	615	307	618	322	-0,15263	-0,15073	-0,97672	-0,24535	-0,14241	-0,95892	3,61	3,757	Valid	Valid	307,5	213,3	629,9	370,4	214,7	626	209	116,1	210,3	121,7	0,3659	0,3435	0,3652	0,3383	0,3666	0,3487	Desktop 2022.06.12 - 22.07.32.02	Desktop 2022.06.12 - 22.07.32.02.mp4	2560	1440	-320	-180	2560	1440	Fixation	1166	119	624	325	0,3689	0,3506		0	1	0	0	0	0										
