Recording timestamp [ms]	Participant name	AOI hit [Desktop 2022.06.12 - 22.07.32.02 - Truck]
80327	Participant1	1
80344	Participant1	1
80360	Participant1	1
80377	Participant1	1
80394	Participant1	1
80410	Participant1	1
80427	Participant1	1
80444	Participant1	1
80460	Participant1	1
80477	Participant1	1
80494	Participant1	1
80510	Participant1	1
80527	Participant1	1
80560	Participant1	1
80577	Participant1	1
80594	Participant1	1
80610	Participant1	1
80627	Participant1	1
80643	Participant1	1
80660	Participant1	1
80677	Participant1	1
80693	Participant1	1
80710	Participant1	1
80727	Participant1	1
80743	Participant1	1
80760	Participant1	1
80777	Participant1	1
80793	Participant1	1
80810	Participant1	1
80827	Participant1	1
80843	Participant1	1
80860	Participant1	1
80877	Participant1	1
80893	Participant1	1
80910	Participant1	1
80927	Participant1	1
80943	Participant1	1
80960	Participant1	1
80993	Participant1	1
81010	Participant1	1
81027	Participant1	1
81043	Participant1	1
81060	Participant1	1
81077	Participant1	1
81093	Participant1	1
81110	Participant1	1
81126	Participant1	1
81143	Participant1	1
81160	Participant1	1
81176	Participant1	1
81193	Participant1	1
81210	Participant1	1
81260	Participant1	1
81276	Participant1	1
81293	Participant1	1
81310	Participant1	1
81326	Participant1	1
81343	Participant1	1
81360	Participant1	1
81376	Participant1	1
81393	Participant1	1
81410	Participant1	1
81426	Participant1	1
81443	Participant1	1
81460	Participant1	1
81476	Participant1	1
81493	Participant1	1
81510	Participant1	1
81526	Participant1	1
81543	Participant1	1
81560	Participant1	1
81593	Participant1	1
81609	Participant1	1
81626	Participant1	1
81643	Participant1	1
81659	Participant1	1
81676	Participant1	1
81693	Participant1	1
81709	Participant1	1
81726	Participant1	1
81743	Participant1	1
81759	Participant1	1
81776	Participant1	1
81793	Participant1	1
81809	Participant1	1
81826	Participant1	1
81843	Participant1	1
81859	Participant1	1
81876	Participant1	1
81893	Participant1	1
81909	Participant1	1
81926	Participant1	1
81943	Participant1	1
81993	Participant1	1
82009	Participant1	1
82026	Participant1	1
82043	Participant1	1
82059	Participant1	1
82076	Participant1	1
82092	Participant1	1
82109	Participant1	1
82126	Participant1	1
82142	Participant1	1
82159	Participant1	1
82176	Participant1	1
82192	Participant1	1
82209	Participant1	1
82226	Participant1	1
82242	Participant1	1
82259	Participant1	1
82276	Participant1	1
82292	Participant1	1
82309	Participant1	1
82326	Participant1	1
82359	Participant1	1
82376	Participant1	1
82392	Participant1	1
82409	Participant1	1
82426	Participant1	1
82442	Participant1	1
82459	Participant1	1
82476	Participant1	1
82492	Participant1	1
82509	Participant1	1
82525	Participant1	1
82542	Participant1	1
82559	Participant1	1
82575	Participant1	1
82592	Participant1	1
82609	Participant1	1
82625	Participant1	1
82642	Participant1	1
82659	Participant1	1
82675	Participant1	1
82692	Participant1	1
82709	Participant1	1
82725	Participant1	1
82759	Participant1	1
82775	Participant1	1
82792	Participant1	1
82809	Participant1	1
82825	Participant1	1
82842	Participant1	1
82859	Participant1	1
82875	Participant1	1
82892	Participant1	1
82909	Participant1	1
82925	Participant1	1
82942	Participant1	1
82959	Participant1	1
82975	Participant1	1
82992	Participant1	1
83008	Participant1	1
83025	Participant1	1
83042	Participant1	1
83058	Participant1	1
83075	Participant1	1
83092	Participant1	1
83108	Participant1	1
83125	Participant1	1
83142	Participant1	1
83158	Participant1	1
83192	Participant1	1
83208	Participant1	1
83225	Participant1	1
83242	Participant1	1
83258	Participant1	1
83275	Participant1	1
83292	Participant1	1
83308	Participant1	1
83325	Participant1	1
83342	Participant1	1
83358	Participant1	1
83375	Participant1	1
83392	Participant1	1
83408	Participant1	1
83425	Participant1	1
83442	Participant1	1
83458	Participant1	1
83475	Participant1	1
83491	Participant1	1
83508	Participant1	1
83525	Participant1	1
83541	Participant1	1
83558	Participant1	1
83575	Participant1	1
83591	Participant1	1
83608	Participant1	1
83625	Participant1	1
83641	Participant1	1
83658	Participant1	1
83675	Participant1	1
83691	Participant1	1
83708	Participant1	1
83725	Participant1	1
83741	Participant1	1
83758	Participant1	1
83775	Participant1	1
83791	Participant1	1
83808	Participant1	1
83825	Participant1	1
83841	Participant1	1
83858	Participant1	1
83875	Participant1	1
83891	Participant1	1
83925	Participant1	1
83941	Participant1	1
83958	Participant1	1
83974	Participant1	1
83991	Participant1	1
84008	Participant1	1
84024	Participant1	1
84041	Participant1	1
84058	Participant1	1
84074	Participant1	1
84091	Participant1	1
84108	Participant1	1
84124	Participant1	1
84141	Participant1	1
84158	Participant1	1
89487	Participant1	1
89504	Participant1	1
89521	Participant1	1
89537	Participant1	1
89554	Participant1	1
89570	Participant1	1
89587	Participant1	1
89604	Participant1	1
89620	Participant1	1
89637	Participant1	1
89654	Participant1	1
89670	Participant1	1
89687	Participant1	1
89704	Participant1	1
89720	Participant1	1
89737	Participant1	1
89754	Participant1	1
89770	Participant1	1
89787	Participant1	1
89804	Participant1	1
89820	Participant1	1
89854	Participant1	1
89870	Participant1	1
89887	Participant1	1
89904	Participant1	1
89920	Participant1	1
89937	Participant1	1
89954	Participant1	1
89970	Participant1	1
89987	Participant1	1
90004	Participant1	1
90020	Participant1	1
90037	Participant1	1
90053	Participant1	1
90070	Participant1	1
90087	Participant1	1
90103	Participant1	1
90120	Participant1	1
90137	Participant1	1
90153	Participant1	1
90170	Participant1	1
90187	Participant1	1
90203	Participant1	1
90220	Participant1	1
90237	Participant1	1
90253	Participant1	1
90270	Participant1	1
90287	Participant1	1
90303	Participant1	1
90320	Participant1	1
90337	Participant1	1
90353	Participant1	1
90370	Participant1	1
90387	Participant1	1
90453	Participant1	1
90470	Participant1	1
90487	Participant1	1
90503	Participant1	1
90520	Participant1	1
90536	Participant1	1
90553	Participant1	1
90570	Participant1	1
90586	Participant1	1
90603	Participant1	1
90620	Participant1	1
90636	Participant1	1
90653	Participant1	1
90670	Participant1	1
90686	Participant1	1
90703	Participant1	1
90720	Participant1	1
90753	Participant1	1
90770	Participant1	1
90786	Participant1	1
90803	Participant1	1
90820	Participant1	1
90836	Participant1	1
90853	Participant1	1
90870	Participant1	1
90886	Participant1	1
90903	Participant1	1
90920	Participant1	1
90936	Participant1	1
90953	Participant1	1
90970	Participant1	1
91486	Participant1	1
91502	Participant1	1
91519	Participant1	1
91536	Participant1	1
91552	Participant1	1
91569	Participant1	1
91586	Participant1	1
91602	Participant1	1
91619	Participant1	1
91636	Participant1	1
91652	Participant1	1
